"PVS","CRS"
"Foreign Aid and Policy Issues","Foreign aid and international relief"
"Women's Issues","Women's rights"
"Housing and Property Issues","Housing and Community Development"
"Arts and Humanities","Arts, Culture, Religion"
"Employment and Affirmative Action","Labor and Employment"
"Technology and Communication","Science, Technology, Communications"
"Transportation Issues","Transportation and Public Works"
"Energy Issues","Energy"
"Environmental Issues","Environmental Protection"
"Congressional and Legislative Affairs","Congress"
"Family and Children Issues","Families"
"Gambling and Gaming","Gambling"
"Government Reform","Government Operations and Politics"
"Executive Branch","Executive agency funding and structure"
"Conservative",
"Drug Issues","Drug, alcohol, tobacco use"
"Death Penalty","Crime and Law Enforcement"
"Liberal",
"Federal, State, and Local Relations","State and local government operations"
"Senior and Social Security Issues","Social security and elderly assistance"
"Animal Rights and Wildlife Issues","Animal protection and human-animal relationships"
"Science and Medical Research","Health"
"Sexual Orientation and Gender Identity","Sex, gender, sexual orientation discrimination"
"Social Issues",
"Stem Cell Research","Medical research"
"Legal Issues","Law"
"Veterans Issues","Armed Forces and National Security"
"Trade Issues","Foreign Trade and International Finance"
"Budget, Spending and Taxes","Economics and Public Finance"
"Campaign Finance and Election Issues","Elections, voting, political campaign regulation"
"Health Issues","Health"
"Business and Consumers","Commerce"
"Civil Liberties and Civil Rights","Civil Rights and Liberties, Minority Issues"
"Crime Issues","Crime and Law Enforcement"
"National Security Issues","Armed Forces and National Security"
"Defense","Armed Forces and National Security"
"Labor","Labor and Employment"
"Military Issues","Armed Forces and National Security"
"Abortion Issues","Abortion"
"Education","Education"
"Reproductive Issues","Sex and reproductive health"
"Agriculture Issues","Agriculture and Food"
"Indigenous Peoples","Native Americans"
"Gun Issues","Firearms and explosives"
"Immigration","Immigration"
"Welfare and Poverty","Poverty and welfare assistance"
